Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1704304344.300036,3353,0,1
2,Payment,1704304344.303681,3294,0,1
1,NewOrder,1704304344.307173,7073,0,1
2,Payment,1704304344.314293,33583,0,1
2,Payment,1704304344.347909,21851,0,1
2,Payment,1704304344.369778,24923,0,1
2,Payment,1704304344.394720,3456,0,1
1,NewOrder,1704304344.398192,6015,0,1
2,Payment,1704304344.404260,3461,0,1
1,NewOrder,1704304344.407736,6007,0,1
1,NewOrder,1704304344.413774,1898,0,1
2,Payment,1704304344.415682,4514,0,1
1,NewOrder,1704304344.420213,19732,0,1
1,NewOrder,1704304344.439965,26235,0,1
4,Delivery,1704304344.466219,32934,0,1
2,Payment,1704304344.499173,3528,0,1
2,Payment,1704304344.502717,3543,0,1
2,Payment,1704304344.506275,3629,0,1
4,Delivery,1704304344.509922,34233,0,1
2,Payment,1704304344.544174,3576,0,1
2,Payment,1704304344.547765,3224,0,1
1,NewOrder,1704304344.551005,5953,0,1
2,Payment,1704304344.556978,3196,0,1
2,Payment,1704304344.560192,4169,0,1
1,NewOrder,1704304344.564584,12673,0,1
1,NewOrder,1704304344.577287,11450,0,1
1,NewOrder,1704304344.588756,10957,0,1
2,Payment,1704304344.599732,3428,0,1
2,Payment,1704304344.603175,3470,0,1
1,NewOrder,1704304344.606660,6261,0,1
3,OrderStatus,1704304344.612940,1036,0,1
2,Payment,1704304344.613986,3291,0,1
1,NewOrder,1704304344.617316,40497,0,1
3,OrderStatus,1704304344.657833,1490,0,1
2,Payment,1704304344.659337,20433,0,1
2,Payment,1704304344.679789,3142,0,1
1,NewOrder,1704304344.682947,6076,0,1
1,NewOrder,1704304344.689041,23734,0,1
1,NewOrder,1704304344.712794,22636,0,1
2,Payment,1704304344.735640,3300,0,1
1,NewOrder,1704304344.738955,52110,0,1
1,NewOrder,1704304344.791086,23090,0,1
1,NewOrder,1704304344.814570,31665,0,1
2,Payment,1704304344.846255,32881,0,1
2,Payment,1704304344.879172,34065,0,1
2,Payment,1704304344.913262,23479,0,1
1,NewOrder,1704304344.936767,28668,0,1
2,Payment,1704304344.965455,35682,0,1
2,Payment,1704304345.001169,19810,0,1
2,Payment,1704304345.020999,10937,0,1
2,Payment,1704304345.031955,11797,0,1
2,Payment,1704304345.043790,12835,0,1
2,Payment,1704304345.056644,20554,0,1
2,Payment,1704304345.077218,9522,0,1
2,Payment,1704304345.086760,36281,0,1
1,NewOrder,1704304345.123061,31800,0,1
2,Payment,1704304345.154881,10747,0,1
2,Payment,1704304345.165649,34953,0,1
5,StockLevel,1704304345.200621,6506,0,1
3,OrderStatus,1704304345.207143,4530,0,1
1,NewOrder,1704304345.211687,34105,0,1
4,Delivery,1704304345.245813,31303,0,1
2,Payment,1704304345.277136,10477,0,1
2,Payment,1704304345.288122,9965,0,1
1,NewOrder,1704304345.298105,35018,0,1
1,NewOrder,1704304345.333142,31430,0,1
2,Payment,1704304345.364592,6808,0,1
2,Payment,1704304345.371698,3291,0,1
1,NewOrder,1704304345.375006,5215,0,1
1,NewOrder,1704304345.380240,42976,0,1
2,Payment,1704304345.423237,29965,0,1
1,NewOrder,1704304345.453220,34618,0,1
1,NewOrder,1704304345.487859,22141,0,1
2,Payment,1704304345.510020,3727,0,1
1,NewOrder,1704304345.513763,5365,0,1
2,Payment,1704304345.519160,3278,0,1
1,NewOrder,1704304345.522692,5420,0,1
1,NewOrder,1704304345.528141,37149,0,1
1,NewOrder,1704304345.565309,20962,0,1
1,NewOrder,1704304345.586291,11124,0,1
1,NewOrder,1704304345.597434,11368,0,1
1,NewOrder,1704304345.608821,10876,0,1
2,Payment,1704304345.619717,3004,0,1
2,Payment,1704304345.622737,3007,0,1
2,Payment,1704304345.625759,3422,0,1
2,Payment,1704304345.629200,3526,0,1
2,Payment,1704304345.632743,3210,0,1
2,Payment,1704304345.635968,3377,0,1
1,NewOrder,1704304345.639361,13442,0,1
2,Payment,1704304345.652823,3159,0,1
2,Payment,1704304345.655997,3210,0,1
1,NewOrder,1704304345.659222,5969,0,1
2,Payment,1704304345.665210,3086,0,1
1,NewOrder,1704304345.668311,17908,0,1
2,Payment,1704304345.686238,2893,0,1
1,NewOrder,1704304345.689147,5937,0,1
1,NewOrder,1704304345.695114,5200,0,1
2,Payment,1704304345.700344,3740,0,1
2,Payment,1704304345.704101,3097,0,1
1,NewOrder,1704304345.707227,24167,0,1
4,Delivery,1704304345.731414,32678,0,1
1,NewOrder,1704304345.764112,11096,0,1
2,Payment,1704304345.775226,3644,0,1
2,Payment,1704304345.778887,3448,0,1
1,NewOrder,1704304345.782352,5307,0,1
1,NewOrder,1704304345.787676,5145,0,1
2,Payment,1704304345.792839,2792,0,1
3,OrderStatus,1704304345.795646,1078,0,1
1,NewOrder,1704304345.796737,5616,0,1
2,Payment,1704304345.802372,3840,0,1
1,NewOrder,1704304345.806229,5127,0,1
1,NewOrder,1704304345.811374,5379,0,1
2,Payment,1704304345.816772,3638,0,1
2,Payment,1704304345.820426,3632,0,1
1,NewOrder,1704304345.824073,17853,0,1
2,Payment,1704304345.841944,3833,0,1
2,Payment,1704304345.845795,3243,0,1
2,Payment,1704304345.849053,3234,0,1
3,OrderStatus,1704304345.852303,1413,0,1
2,Payment,1704304345.853729,3439,0,1
2,Payment,1704304345.857185,3639,0,1
2,Payment,1704304345.860858,3261,0,1
2,Payment,1704304345.864364,3232,0,1
2,Payment,1704304345.867614,3677,0,1
1,NewOrder,1704304345.871326,15091,0,1
1,NewOrder,1704304345.886438,34495,0,1
2,Payment,1704304345.920957,32021,0,1
2,Payment,1704304345.952998,27293,0,1
1,NewOrder,1704304345.980311,56374,0,1
1,NewOrder,1704304346.036705,38085,0,1
3,OrderStatus,1704304346.074852,3913,0,1
1,NewOrder,1704304346.078802,30241,0,1
1,NewOrder,1704304346.109056,32311,0,1
2,Payment,1704304346.141382,34274,0,1
2,Payment,1704304346.175672,32382,0,1
1,NewOrder,1704304346.208071,34224,0,1
4,Delivery,1704304346.242310,52345,0,1
1,NewOrder,1704304346.294671,36162,0,1
1,NewOrder,1704304346.330864,20804,0,1
3,OrderStatus,1704304346.351682,3233,0,1
5,StockLevel,1704304346.354926,2980,0,1
1,NewOrder,1704304346.357915,27848,0,1
2,Payment,1704304346.385779,33540,0,1
2,Payment,1704304346.419337,10708,0,1
2,Payment,1704304346.430076,32754,0,1
2,Payment,1704304346.462850,34805,0,1
2,Payment,1704304346.497677,30966,0,1
2,Payment,1704304346.528658,22006,0,1
2,Payment,1704304346.550680,3541,0,1
1,NewOrder,1704304346.554233,34622,0,1
4,Delivery,1704304346.588871,83769,0,1
2,Payment,1704304346.672657,34806,0,1
1,NewOrder,1704304346.707480,34183,0,1
2,Payment,1704304346.741679,32316,0,1
1,NewOrder,1704304346.774011,32575,0,1
2,Payment,1704304346.806602,34270,0,1
1,NewOrder,1704304346.840902,33906,0,1
1,NewOrder,1704304346.874824,32004,0,1
1,NewOrder,1704304346.906844,45360,0,1
2,Payment,1704304346.952225,9266,0,1
1,NewOrder,1704304346.961504,32279,0,1
2,Payment,1704304346.993799,34290,0,1
1,NewOrder,1704304347.028105,32138,0,1
2,Payment,1704304347.060258,22681,0,1
1,NewOrder,1704304347.082955,35620,0,1
1,NewOrder,1704304347.118592,30497,0,1
2,Payment,1704304347.149105,35913,0,1
2,Payment,1704304347.185034,8732,0,1
3,OrderStatus,1704304347.193779,2851,0,1
4,Delivery,1704304347.196641,85036,0,1
1,NewOrder,1704304347.281705,34514,0,1
1,NewOrder,1704304347.316236,31706,0,1
5,StockLevel,1704304347.347957,3206,0,1
1,NewOrder,1704304347.351172,31559,0,1
3,OrderStatus,1704304347.382747,3967,0,1
1,NewOrder,1704304347.386724,42799,0,1
1,NewOrder,1704304347.429541,29241,0,1
1,NewOrder,1704304347.458797,35809,0,1
2,Payment,1704304347.494621,10396,0,1
2,Payment,1704304347.505031,11117,0,1
2,Payment,1704304347.516160,31542,0,1
1,NewOrder,1704304347.547718,35982,0,1
2,Payment,1704304347.583721,31561,0,1
1,NewOrder,1704304347.615298,34539,0,1
1,NewOrder,1704304347.649853,30372,0,1
3,OrderStatus,1704304347.680784,3210,0,1
2,Payment,1704304347.684002,32299,0,1
1,NewOrder,1704304347.716349,30960,0,1
1,NewOrder,1704304347.747325,21764,0,1
1,NewOrder,1704304347.769105,36901,0,1
1,NewOrder,1704304347.806023,29831,0,1
2,Payment,1704304347.835869,35766,0,1
2,Payment,1704304347.871662,31142,0,1
2,Payment,1704304347.902821,20813,0,1
1,NewOrder,1704304347.923650,36158,0,1
2,Payment,1704304347.959837,10310,0,1
1,NewOrder,1704304347.970162,30996,0,1
1,NewOrder,1704304348.001187,36943,0,1
2,Payment,1704304348.038160,31726,0,1
1,NewOrder,1704304348.069902,30936,0,1
1,NewOrder,1704304348.100855,36093,0,1
1,NewOrder,1704304348.136963,11991,0,1
1,NewOrder,1704304348.148970,5922,0,1
2,Payment,1704304348.154905,34985,0,1
2,Payment,1704304348.189919,13782,0,1
1,NewOrder,1704304348.203718,30047,0,1
1,NewOrder,1704304348.233780,36891,0,1
2,Payment,1704304348.270688,9914,0,1
4,Delivery,1704304348.280615,52091,0,1
